type,question_number,question,option_A,option_B,option_C,option_D,correct_answer
multiple_choice,1,Thequantitytheoryofmoneyisatheoryofhow,Cung tiềnđược xác định.,lãi suất được xác định.,sau đó giá trị tổng hợp thu nhập được xác định.,therealvalueofaggregateincomeđược xác định.,C
multiple_choice,2,"Bởi vìlý thuyết số lượng của tiền tệcho biếtsuhiển thị nhiều tiền được giữ cho số lượng tổng thu nhập, đó là lý thuyết của",xác định lãi suất.,Nhu cầu tiền bạc.,xác định tỷ giá hối đoái.,nhu cầu về tài sản.,B
multiple_choice,3,Số lần trung bình đómột đô la mua tổng số tiền chính thức hàng hóa và dịch vụ được sản xuất trong thời gian được biết đến,tổng sản phẩm quốc gia.,hệ số chi tiêu.,themoneymultiplier.,vận tốc.,D
multiple_choice,4,Vận tốc của tiền là,Số lần trung bình đó là đô la mua tổng số tiền hàng hóa và dịch vụ.,Tỷ lệ của tiền cổ phiếu với tiền có quyền lực cao.,Tỷ lệ tiền cổ phiếu với lãi suất.,Số lần trung bìnhcủa một đô lamua tài sản tài chính.,A
multiple_choice,6,"Nếucung tiền là $600 và thu nhập danh nghĩa là $3.000, thevelocityof moneyis",1/50.,1/5.,5,50,C
multiple_choice,7,"Nếucung tiền là $500 và thu nhập danh nghĩa là $4,000, thevelocityof moneyis",1/20.,1/8.,8,20,C
multiple_choice,8,"Nếu cung tiền là $600 và thu nhập danh nghĩa là $3,600, thevelocity of moneyis",1/60.,1/6.,6,60,C
multiple_choice,9,"Nếu GDP danh nghĩa là 10 nghìn tỷ đô la, và cung tiền là 2 nghìn tỷ đô la, vận tốc là",0.2.,5,10,20,B
multiple_choice,11,"Nếu GDP danh nghĩa là 10 nghìn tỷ đô la, và vận tốc là 10, cung tiền là",1 nghìn tỷ đô la.,5 nghìn tỷ đô la.,10 nghìn tỷ đô la.,100 nghìn tỷ đô la.,A
multiple_choice,12,"Nếu cung tiền là 2 nghìn tỷ đô la và vận tốc là 5, thì GDP danh nghĩa",1 nghìn tỷ đô la.,2 nghìn tỷ đô la.,5 nghìn tỷ đô la.,10 nghìn tỷ đô la.,D
multiple_choice,13,"Nếu cung tiền là 20 nghìn tỷ đô la và tốc độ là 2, thì GDP danh nghĩa",2 nghìn tỷ đô la.,10 nghìn tỷ đô la.,20 nghìn tỷ đô la.,40 nghìn tỷ đô la.,D
multiple_choice,14,Vận tốc được định nghĩa là,P + M + Y.,(P×M) / Y.,(Y×M)/P.,(P×Y) / M.,D
multiple_choice,16,Phương trình trao đổitrạng thái rằng số lượng tiền nhân với số lần số lần tiền này được chi tiêu trong năm phải bằng nhau,thu nhập danh nghĩa.,thu nhập thực tế.,sản phẩm quốc gia thực sự.,vận tốc.,A
multiple_choice,17,"Trong phương trình trao đổi, khái niệm cung cấp liên kết giữa MandPYđược gọi là",thevelocityofmoney.,tổng hợp.,tổng hợp.,themoneymultiplier.,A
multiple_choice,18,Phương trình trao đổi là,M×P=V×Y.,M+V=P+Y.,M+Y=V+P.,M×V=P×Y.,D
multiple_choice,19,IrvingFishertookquan điểm rằng các đặc điểm thể chế của nền kinh tế ảnh hưởng đến velocitychange________overtimesothatvelocitywillbefairly________intheshortrun.,mau; thất thường,mau; chuồng,chậm; chuồng,chậm; thất thường,C
multiple_choice,21,Kết luận của các nhà kinh tế học cổ điển rằng thu nhập danh nghĩa được xác định bởi các phong trào trong themoneysupplyrestedontheirbeliefthat________couldbetreatedas________intheshort chạy.,vận tốc; hằng,vận tốc; biến số,tiền; hằng,tiền; biến số,A
multiple_choice,22,"Quan điểm rằng vận tốc là hằng số trong ngắn hạnbiến đổi phương trình trao đổi thành lý thuyết số lượng của tiền tệ. Theo lý thuyết số lượng, khi cung tiền tăng gấp đôi",vận tốcgiảm50 phần trăm.,vận tốc gấp đôi.,thu nhập danh nghĩa giảm50 phần trăm.,thu nhập danh nghĩa gấp đôi.,D
multiple_choice,23,Cắt giảm nguồn cung tiền bằng một phần ba được dự đoán bởi lý thuyết số lượng của tiền để gây ra,"Asharpsụt giảm sản lượng thực tế của một phần ba trong ngắn hạn, và giảm ở mức giá bằng một- phần ba trong dài hạn.",adeclineinrealoutputby-một phần ba.,"giảm sản lượng một phần sáu, và giảm mức giá của một phần sáu.",adeclineinthepricelevelby-một phần ba.,D
multiple_choice,25,Tranh cãi của các nhà kinh tế học cổ điển rằng giá cả gấp đôikhi cung tiền là predicatedonthebeliefthatintheshortrunvelocityis________andrealGDPis________.,hằng; hằng,hằng; biến số,biến số; biến số,biến số; hằng,A
multiple_choice,26,"Đối với các nhà kinh tế học cổ điển, lý thuyết số lượng của tiền tệcung cấp và giải thích về các chuyển động ở mức giá. Thay đổi trong pricelevelresult",từ tỷ lệ thay đổi trong số lượng tiền.,chủ yếu từ những thay đổi trong số lượng tiền.,chỉ một phần từ những thay đổi trong số lượng tiền.,từthay đổicác tác nhân khác với số lượng tiền.,A
multiple_choice,27,"Nếu ban đầucung tiền là 1 nghìn tỷ đô la, vận tốc là 5, mức giá là 1, và GDP thực tế là 5 nghìn tỷ đô la, tăng cung tiền lên 2 nghìn tỷ đô la",tăngthực tếGDPlên 10 nghìn tỷ đô la.,causesvelocitytofallto2.5.,increasesthepricelevelto2.,IncreasesThePriceLevelto2andvelocityto10.,C
multiple_choice,29,Theo lý thuyết số lượng của nhu cầu tiền tệ,tăng lãi suất sẽ gây ra nhu cầu về tiền bạc.,Giảm lãi suất sẽ gây ra nhu cầu về tiền để tăng.,lãi suất có tác dụng đối với nhu cầu tiền bạc.,tăng tiền sẽ gây ra nhu cầu về tiền bạc.,C
multiple_choice,30,"Lý thuyết số lượng tiền bạc của Fisher gợi ý rằng nhu cầu tiền bạc hoàn toàn là một chức năng của ________,and________noeffectonthedemandformoney.",thu nhập; lãi suấtcó,lãi suất; thu nhậpcó,chi tiêu chính phủ; lãi suấtcó,Mong đợi; thu nhậpcó,A
multiple_choice,31,"________quantitytheoryofmoneysuggeststhatthedemandformoneyispurelyafunction thu nhập, và lãi suất có ảnh hưởng đến nhu cầu tiền bạc.",của Keynes,Ngư dân,Của Friedman,Của Tobin,B
multiple_choice,33,Thequantitytheoryofinflationchỉ ra rằng tỷ lệ lạm phát bằng,Tốc độ tăng trưởng của nguồn cung tiền trừ đi tốc độ tăng trưởng của tổng sản lượng.,Mức của nguồn cung tiền trừ đến mức tổng hợp đầu ra.,Tốc độ tăng trưởng của nguồn cung tiền cộng với tốc độ tăng trưởng của tổng sản lượng.,Mức của nguồn cung tiềnplusthelevelofaggregateoutput.,A
multiple_choice,34,"Số lượnglý thuyết lạm phát chỉ ra rằng nếu tổng hợp sản lượng đang tăng trưởng ở mức 3% mỗi năm và tốc độ tăng trưởng của tiền là 5%, thì lạm phát là",2%.,8%.,-2%.,1.6%.,A
multiple_choice,35,Bằng chứng kinh nghiệm cho thấy rằng lý thuyết số lượng về tiền bạclà lý thuyết tốt về lạm phát,"inthelongrun, nhưngnotintheshortrun.","intheshortrun, nhưng notinthelongrun.",cả hai chiều dài và shortrun.,notinethelongrunnortheshortrun.,A
multiple_choice,1,"Phương phápchi tiêu của chính phủ được mô tảbyanexpressiongọi là chính phủ ngân sách hạn chế, trong đó các tiểu bang sau",thâm hụt ngân sách của chính phủ phải bằng tổng số thay đổi trong cơ sở tài chính và sự thay đổi trong chính phủ trái phiếu của công chúng.,Chính phủ ngân sách thâm hụt phải bằng nhau giữa sự thay đổi trong cơ sở duy nhất và sự thay đổi trong chính phủ trái phiếu của công chúng.,thâm hụt ngân sách của chính phủ phải bằng sự khác biệt giữa sự thay đổi trong cơ sở tài chính và sự thay đổi trong trái phiếu chính phủ của Fed.,thâm hụt ngân sách của chính phủ phải bằng sự khác biệt giữa sự thay đổi trong cơ sở tài chính và sự thay đổi trong trái phiếu chính phủ của Kho bạc.,A
multiple_choice,2,"Phương phápchi tiêu của chính phủ được mô tảbyanexpressiongọi là chính phủ ngân sách hạn chế, trong đó các tiểu bang sau",DEFICIT=(GT)=ΔMB+ΔTRÁI phiếu.,DEFICIT=(GT)=ΔMB-ΔBONDS.,DEFICIT=(GT)=ΔBONDS-ΔMB.,DEFICIT=(GT)=ΔMB/ΔBONDS.,A
multiple_choice,3,"Nếu chính phủ tài chính chi tiêu bằng cách phát hành nợ cho công chúng, họ sẽ ________andthemoneysupplywill________.",tăng; tăng,tăng; giảm,giảm; tăng,không thay đổi; không thay đổi,D
multiple_choice,4,"Nếu chính phủ tài chính chi tiêu bằng cách bán trái phiếu, ngân hàng trung ương, họ basewill________andthemoneysupplywill________.",tăng; tăng,tăng; giảm,giảm; giảm,không thay đổi; không thay đổi,A
multiple_choice,6,"Tài trợ chính phủ chi tiêu bằng cách bán trái phiếu công khai, thanh toán cho trái phiếu bằng tiền tệ,",chìstoapermanentdeclineinthemonetarybase.,Leadstoapermanentincreaseinthemonetarybase.,leadstoatemporaryincreaseinthemonetarybase.,hasnoneteffectonthemonetarybase.,D
multiple_choice,7,Tài trợ chi tiêu của chính phủ bằng cách phát hành nợ,nguyên nhân cả hai dự trữ và cơ sở nguyên nhân.,nguyên nhân cả hai dự trữ và cơ sở suy giảm.,"nguyên nhân dự trữ trỗi dậy, nhưng cơ sở suy giảm.",hasnoneteffectonthemonetarybase.,D
multiple_choice,8,Tài chính của chính phủ chi tiêu thông quaKho bạc bán trái phiếusau đó được Fed mua,nguyên nhân cả hai dự trữ và cơ sở nguyên nhân.,nguyên nhân cả hai dự trữ và cơ sở suy giảm.,"nguyên nhân dự trữ trỗi dậy, nhưng cơ sở suy giảm.",hasnoneteffectonthemonetarybase.,A
multiple_choice,10,Chỉ khi thâm hụt ngân sách được tài trợ bởi tiền sáng tạomới tăng spendingleadto________inthe________ chính phủ.,giảm; cơ sở tiền tệ,tăng cường; cơ sở tiền tệ,giảm; Hệ số tiền,tăng cường; Hệ số tiền,B
multiple_choice,11,"Ifthedeficitisfinancedbysellingbondstothe________, themoneysupplywill________, tăng tổng cầu, và dẫn đến mức giá.",công cộng; lên,công cộng; rớt,ngân hàng trung ương; lên,ngân hàng trung ương; rớt,C
multiple_choice,12,"Ifthedeficitisfinancedbysellingbondstothe________,themoneysupplywill________, causingaggregatedemandto________.",công cộng; lên; tăng,công cộng; rớt; giảm,ngân hàng trung ương; lên; tăng,ngân hàng trung ương; rớt; giảm,C
multiple_choice,14,"""Lý thuyết tiền tệ hiện đại"" lập luận rằng ""GreenNewDeal"" có thể dễ dàng thanh toán bằng cách có ________buygovernmentbondstofundtheresultinglargebudgetdeficits.",Nước ngoài,Ngân hàng lớn,Liên bang,Doanh nghiệp,C
multiple_choice,15,"""Lý thuyết tiền tệ hiện đại"" lập luận rằng thâm hụt ngân sách lớn do sự gia tăng lớn trong chi tiêu của chính phủ có thể được thanh toán bằng cách bán trái phiếu cho ________. Việc tài trợ cho thâm hụt ngân sách dai dẳng này dẫn đến sự tăng trưởng ________ của cung tiền và rất ________inflation.",công cộng; cao; cao,công cộng; thấp; thấp,ngân hàng trung ương; cao; cao,ngân hàng trung ương; thấp; thấp,C
multiple_choice,16,"""Lý thuyết tiền tệ hiện đại"" lập luận rằng thâm hụt ngân sách lớn do sự gia tăng lớn trong chi tiêu của chính phủ có thể được thanh toán bằng cách bán trái phiếu cho ________. Việc tài trợ cho thâm hụt ngân sách dai dẳng này dẫn đến sự tăng trưởng ________ của cung tiền và rất ________inflation.",công cộng; cao; cao,công cộng; thấp; thấp,ngân hàng trung ương; cao; cao,ngân hàng trung ương; thấp; thấp,C
multiple_choice,1,TheKeynesiantheoryofmoneydemandnhấn mạnhtầm quan trọng của,vận tốc không đổi.,hành vi phi lý trên một phần của một số tác nhân kinh tế.,lãi suấtsonthedemandformoney.,Mong đợi.,C
multiple_choice,2,Keynes giả thuyết rằng các giao dịch thành phần của tiền tệnhu cầu chủ yếu được xác định bởi cấp độ của,lãi suất.,vận tốc.,thu nhập.,giá thị trường chứng khoán.,C
multiple_choice,3,"Keynes lập luận rằng các giao dịch thành phần của nhu cầu tiền chủ yếu được xác định bởi cấp độ của s________,whichhebelievedwereproportionalto________ của mọi người.",Giao dịch; thu nhập,Giao dịch; tuổi,Thu nhập; Wealth,Thu nhập; tuổi,A
multiple_choice,5,"Keynes lập luận rằng thành phần phòng ngừa của nhu cầu tiền bạc chủ yếu được xác định bởi cấp độ của s________,whichhebelievedwereproportionalto________ của mọi người.",Thu nhập; Wealth,Thu nhập; tuổi,Giao dịch; thu nhập,Giao dịch; tuổi,C
multiple_choice,6,Nhu cầu về tiền bạcasacushionagainstunedcontingedcontingenciesđược gọi là,giao dịchđộng cơ.,động cơ phòng ngừa.,động cơ bảo hiểm.,động cơ suy đoán.,B
multiple_choice,7,Keynes giả thuyết rằng thành phần đầu cơ của nhu cầu tiền tệ chủ yếu được xác định bởi cấp độ của,lãi suất.,vận tốc.,thu nhập.,giá thị trường chứng khoán.,A
multiple_choice,8,Động cơ đầu cơ để nắm giữ tiền có liên quan chặt chẽ với chức năng của tiền tệ?,Kho lưu trữ tài sản,đơn vị tài khoản,phương tiện trao đổi,Tiêu chuẩn của Thanh toán trả chậm,A
multiple_choice,10,"Bởi vì Keynes giả định rằng lợi nhuận mong đợi trên tiền là bằng không, nghe nói rằng mọi người sẽ",Không bao giờ giữ tiền.,không bao giờ giữ tiềnnhư một kho lưu trữ của cải.,holdmoneyasastoreofwealthwhentheexpectedreturnonbondswastiêu cực.,nắm giữ tiền như một kho lưu trữ của tài sản chỉ khi thực thi bởi chính sách của chính phủ.,C
multiple_choice,11,TheKeynesiantheoryofmoneydemanddự đoán rằng mọi người sẽ tăng lượng tiền của họ nắm giữ nếu họ tin rằng,lãi suất sắp giảm.,giá trái phiếu sắp tăng.,Lạm phát dự kiến sắp rơi.,giá trái phiếu sắp giảm.,D
multiple_choice,12,"Nếu mọi người kỳ vọng lãi suất danh nghĩa lên cao hơn trong tương lai, lợi nhuận dự kiến đối với trái phiếu ________,andthedemandformoney________.",Tăng; Tăng,Tăng; Giảm,Falls; Tăng,Falls; Giảm,C
multiple_choice,14,"Keyneslập luận rằng khi lãi suất thấptương đối với một số giá trị bình thường, mọi người wouldexpectbondpricesto________sothequantityofmoneydemandedwould________.",tăng; tăng,tăng; giảm,giảm; tăng,giảm; giảm,C
multiple_choice,15,"Keynes lập luận rằng khi lãi suất cao tương đối với một số giá trị bình thường, mọi người wouldexpectbondpricesto________,sothequantityofmoneydemandedwould________.",tăng; tăng,tăng; giảm,giảm; giảm,giảm; tăng,B
multiple_choice,16,"Theo lý thuyết của Keynes về ưu tiên thanh khoản, vận tốc tăng khi",thu nhậptăng.,sự giàu cótăng.,môi giớihoa hồngtăng.,lãi suấttăng.,D
multiple_choice,17,Lý thuyết của Keynes về nhu cầu tiền bạc ngụ ý rằng vận tốc là,không liên tục nhưng dao động với các chuyển động trong lãi suất.,không liên tục nhưng dao động với các chuyển động trong mức giá.,không liên tục nhưng dao động với các chuyển động trong thời gian của năm.,không đổi.,A
multiple_choice,19,Lý thuyết ưu tiên thanh khoản của Keynes chỉ ra rằng nhu cầu về tiền,"hoàn toàn là chức năng của thu nhập, và lãi suất có ảnh hưởng đến nhu cầu về tiền.","hoàn toàn là chức năng của lãi suất, và thu nhập không ảnh hưởng đến nhu cầu về tiền.",là chức năng của cả thu nhập và lãi suất.,là chức năng của cả hai chính phủ chi tiêu và thu nhập.,C
multiple_choice,20,Lý thuyết của Keynes về nhu cầu tiền bạc nhất quán với,chuyển động ngược chu kỳvận tốc.,vận tốc không đổi.,chuyển động theo chu kỳvận tốc.,vận tốc tương đối ổn định.,C
multiple_choice,21,stheoryofthedemandformoneyisconsistentwith________movementsin ________ của Keynes.,ngược chu kỳ; vận tốc,theo chu kỳ; vận tốc,ngược chu kỳ; Mong đợi,theo chu kỳ; Mong đợi,B
multiple_choice,22,Mô hình của Keynes về nhu cầu tiền bạc gợi ý rằng vận tốc là,hằng.,liên quan tích cực đến lãi suất.,liên quan tiêu cực đến lãi suất.,liên quan tích cực đến các giá trị trái phiếu.,B
multiple_choice,24,smodelofthedemandformoneysuggeststhatvelocityis________relatedto ________ của Keynes.,Tích cực; lãi suất,Tiêu cực; lãi suất,Tích cực; Giá trị trái phiếu,Tích cực; giá cổ phiếu,A
multiple_choice,25,sliquiditypreferencetheoryindicatesthatthedemandformoneyis________ relatedto________ của Keynes.,Tiêu cực; lãi suất,Tích cực; lãi suất,Tiêu cực; thu nhập,Tiêu cực; Wealth,A
multiple_choice,26,Nhu cầu của Keynesianđối với sự cân bằng thựcđược thể hiện dưới dạng,"Md = f (i, Y).",Md / P = f (i).,Md / P = f (Y).,"Md / P = f (i, Y).",D
multiple_choice,1,"Lý thuyết danh mục đầu tư về tiền tệ, nhu cầu tuyên bố rằng nhu cầu cân bằng tiền thực là ________relatedtoincomeand________relatedtothenominalinterestrate.",Tích cực; Tiêu cực,Tích cực; Tích cực,Tiêu cực; Tiêu cực,Tiêu cực; Tích cực,A
multiple_choice,2,"Lý thuyết danh mục đầu tư về nhu cầu tiền tệ tuyên bố rằng khi thu nhập (và do đó, sự giàu có) cao hơn, thedemandforthemoneyassetwill________andthedemandforrealmoneybalances willbe________.",lên; trên,lên; hạ,rớt; trên,rớt; hạ,A
multiple_choice,3,"Aslãi suất tăng, theexpectedabsolutereturnofmoney________, tiền dự kiến returnrelativetobonds________.",không thay đổi; giảm,Tăng; giảm,không thay đổi; tăng,Falls; giảm,A
multiple_choice,5,Lý thuyết về lựa chọn danh mục đầu tư chỉ ra rằng các yếu tố ảnh hưởng đến nhu cầu tiền bao gồm,thu nhập.,lãi suất danh nghĩa.,thanh khoản của các tài sản khác.,tất cả những điều trên.,D
multiple_choice,6,Lý thuyết về lựa chọn danh mục đầu tư chỉ ra rằng các yếu tố ảnh hưởng đến nhu cầu tiền bao gồm,thu nhập.,lãi suất danh nghĩa.,rủi ro của tiền.,tất cả những điều trên.,D
multiple_choice,1,"Bằng chứng về sự nhạy cảm về lợi ích của nhu cầu tiền bạc cho thấy rằng nhu cầu về moneyis________tointerestrates,andthereis________evidencethataliquiditytrapexists.",nhạy cảm; lớn lao,nhạy cảm; nhỏ,Insensitive; lớn lao,Insensitive; nhỏ,B
multiple_choice,2,Intheliquiditytrapasmallchangeininterestratesproduces________changeinthequantity củatiềnyêu cầu.,asmall,Không,không cân xứng,averylarge,D
multiple_choice,3,"Bẫy thanh khoản, monetarypolicyhas________effectonaggregatespendingbecausea changeinthemoneysupplyhas________effectoninterestrates.",Không; Không,Không; Lớn,Không; asmall,lớn; Lớn,A
multiple_choice,4,"Trong bẫy thanh khoản, chính sách tiền tệ",hasalargeimpactonlãi suất.,hasasmallimpactonlãi suất.,không có tác động đến lãi suất.,hasaproportionatetác động đến lãi suất.,C
multiple_choice,6,Bằng chứng cho thấy rằng thanh khoảncó thể xảy rakhi nào,realinterestratesareatzero.,realinterestratesareatorjustabovezero.,danh nghĩainterestratesareatzero.,danh nghĩainterestratesareatorjustabovezero.,C
multiple_choice,7,"Lý do mà các nhà kinh tế quan tâm đến sự ổn định của vận tốc là bởi vì nếu nhu cầu về tiền không ổn định, thì tăng trưởng ổn định của cung tiền",isgoingtopromotegiá cả ổn định tại dòng chi phí thất nghiệp.,đang đi đến topromotelowthất nghiệp tại chi phí của giá cả ổn định.,là cách hiệu quả để tiến hành chính sách tiền tệ.,vẫn có thể được sử dụng để tiến hành chính sách tiền tệ nếu mục tiêu ổn định giá cả.,C
multiple_choice,1,"Phân tích của ông bắt đầu với sự công nhận rằng tổng số lượng được yêu cầu của đầu ra của nền kinh tế là tổng số các loại chi tiêu: chi tiêu tiêu dùng, chi tiêu đầu tư theo kế hoạch, chi tiêu chính phủ, và xuất khẩu ròng.",JohnMaynardKeynes,Ngài JohnHicks,MiltonFriedman,PaulA.Samuelson,A
multiple_choice,2,Động lực của Keynes trong việc phát triển mô hình xác định tổng hợp đầu ra bắt nguồn từ mối quan tâm của ông với việc giải thích,Siêu lạm phátmềmnhững năm 1920.,tại sao Đại suy thoái xảy ra.,tỷ lệ thất nghiệp caoở Vĩ đại nước Anh trước Thế chiến I.,tỷ lệ thất nghiệp caoở Vĩ đại nước Anhsau Thế chiến II.,B
multiple_choice,3,Keyneswasespeciallyinterestedinexplainingmovementsof________becausehewantedto giải thích tại sao Đại suy thoái đã xảy ra và chính sách của chính phủ có thể được sử dụng như thế nào để increase________inasimilareconomicsituation.,tổng hợp đầu ra; Tiền lương,tổng hợp đầu ra; việc làm,tiền lương; Tiền lương,tiền lương; việc làm,B
multiple_choice,5,Keyneswasespeciallyconcernedwithexplainingthe________levelofoutputand employmentduringthe________.,thấp; Thập niên 1920,thấp; Thập niên 1930,cao; Thập niên 1920,cao; Thập niên 1930,B
multiple_choice,6,"Trong mô hình Keynesian đơn giản, cân bằng tổng hợp đầu ra được xác định bởi",tổng hợp.,tổng hợp.,Nhu cầu lao động quốc gia.,mức giá.,A
multiple_choice,7,"Phân tích theo Keynes, tổng hợp nhu cầu có thể được viết",Yad=C+I+G+NX.,Yad=C+I+G-NX.,Yad=C-I-G-NX.,Yad=C+I-G-NX.,A
multiple_choice,1,Keyneslý luận rằng chi tiêu tiêu dùng có liên quan chặt chẽ nhất đến,Mức lãi suất.,mức giá.,thu nhập khả dụng.,Tỷ lệ thuế cận biên.,C
multiple_choice,2,"Trong mô hình Keynesian về xác định thu nhập, chi tiêu của người tiêu dùng bao gồm chi tiêu của",người tiêu dùng trên máy tính cá nhân.,doanh nghiệp trên máy tính cá nhân.,chính phủsonmáy tính cá nhân.,người nước ngoàitrên máy tính cá nhân trong nước.,A
multiple_choice,3,Themarginaltempensitytoconsume(mpc)có thể xác định dasthefractioncủa,athay đổi thu nhậpđó là chi tiêu.,thay đổithu nhậpđược tiết kiệm.,thu nhậpđược chi tiêu.,thu nhậpđược tiết kiệm.,A
multiple_choice,4,"Nếu hàm tiêu thụ được biểu thị là C = a + mpc × Y D, thì ""mpc"" đại diện cho",chi tiêu tiêu dùng tự trị.,Xu hướng tiêu thụ bên lề.,hệ số chi tiêu.,thu nhập khả dụng.,B
multiple_choice,5,"Nếu hàm tiêu thụ được biểu thị là C = a + mpc × Y D, thì ""a"" đại diện cho",chi tiêu tiêu dùng tự trị.,Xu hướng tiêu thụ bên lề.,hệ số chi tiêu.,thu nhập khả dụng.,A
multiple_choice,7,"Nếu chức năng tiêu dùng là C = 20 + 0.8Y D, thì tăng thu nhập khả dụng bằng 100 đô la sẽ dẫn đến việc tăng chi tiêu tiêu dùng bởi",58,64,80,100,C
multiple_choice,8,"Giả sử rằng tiêu dùng tự trị bằng 200 đô la và rằng họ bằng 0,8.Nếu thu nhập khả dụng bằng 1.000 đô la, thì tổng tiêu thụ bằng",80,200,800,1000,D
multiple_choice,9,"Giả sử rằng tiêu thụ tự trị bằng 200 đô la và thu nhập khả dụng bằng 1.000 đô la. Nếu tổng tiêu thụ bằng 800 đô la, thì họ bằng",0.2.,0.6.,0.8.,1.0.,B
multiple_choice,11,"Mọi thứ khác được giữ không đổi, nếu tổng mức tiêu dùngtăng từ $ 600 đến $ 800 vì tăng thu nhập khả dụng là $ 400, thì họ sẽ bằng",0.2.,0.4.,0.5.,0.6.,C
multiple_choice,12,"Mọi thứ khác được giữ không đổi, nếu chi tiêu tăng bởi65fora100tăng thu nhập khả dụng, họ là",0,0.5.,0.65.,1,C
multiple_choice,13,"Mọi thứ khác được giữ không đổi, nếu thu nhập khả dụng tăng lên 200 và chi tiêu tiêu dùng tăng lên 150, họ là",0,0.15.,0.5.,0.75.,D
multiple_choice,15,Các nhà kinh tế định nghĩa đầu tư là mua,mớitài sản vật lýuchasanewmáy mócoranewhouse.,"bất kỳ tài sản vật lý nào, dù không được sử dụng, được sử dụng bởi doanh nghiệp để tăng sản xuất.",bất kỳ tài sản vật chất nào được sử dụng bởi doanh nghiệp để tăng sản xuất và mua cổ phiếu phổ thông.,doanh nghiệp chi tiêuvốnvốnvà hộ gia đìnhchi tiêuhàng hóa lâu bền.,A
multiple_choice,16,"Chi tiêu đầu tư theo kế hoạch, một thành phần của tổng hợpnhu cầu, bằng",đầu tư cố địnhcộng với hàng tồn kho thực tếđầu tư.,đầu tư cố địnhplusunedinventoryđầu tư.,đầu tư cố định.,Đầu tư cố địnhPlusPlannedĐầu tư hàng tồn kho.,D
multiple_choice,17,"Có hai loại đầu tư: ________investment - chi tiêu của công ty kinh doanh thiết bị và cấu trúc, và kế hoạch chi tiêu cho nhà ở - đầu tư and________ - chi tiêu của công ty kinh doanh phụ lục nắm giữ thêm vật liệu, bộ phận và thành phẩm.",Kế hoạch; Tổng,Kế hoạch; Kho,Cố định; Tổng,Cố định; Kho,D
multiple_choice,19,Sự khác biệt giữa đầu tư hàng tồn kho và đầu tư cố định là,Đầu tư cố địnhkhông bao giờ được lên kế hoạch.,Đầu tư cố địnhkhông bao giờ được lên kế hoạch.,Đầu tư hàng tồn khokhông bao giờ có kế hoạch.,hàng tồn kho không có kế hoạchđầu tưlà luôn không.,A
multiple_choice,20,Keynesđề cập đến hai yếu tố ảnh hưởng đến chi tiêu đầu tư theo kế hoạch,lãi suất và thu nhập khả dụng.,lãi suất và kỳ vọng kinh doanh về tương lai.,thu nhập khả dụng và kỳ vọng kinh doanh về tương lai.,lãi suất và kỳ vọng kinh doanh về lạm phát.,B
multiple_choice,21,Các yếu tố ảnh hưởng đến chi tiêu đầu tư theo kế hoạchbao gồm,lãi suất thực.,xích mích tài chính.,cảm xúcsóng lạc quan và bi quan.,tất cả những điều trên. E) AandC.,D
multiple_choice,22,Kế hoạch đầu tưchi tiêu cao hơn,khi thực tếlãi suất cao hơn.,trong các xung đột tài chính.,khi doanh nghiệp lạc quan.,tất cả những điều trên. E) AandC.,C
